date,AAPL,ABT,ADBE,AIG,AMD,AMGN,AMZN,AXP,BA,BAC,BK,BMY,BRK-B,C,CAT,CL,CMCSA,COF,COP,COST,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,F,FDX,GD,GE,GILD,HD,HON,IBM,INTC,INTU,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MCD,MDT,MMM,MO,MRK,MS,MSFT,NEE,NKE,ORCL,PEP,PFE,PG,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TXN,UNH,UNP,USB,VZ,WFC,WMT,XOM
1998-01-01,0.39522824973700965,0.08110687800401495,-0.0662289367180976,0.015086446310455859,0.13732394366197176,-0.07621208217780273,-0.020749570372283865,-0.05988624389580666,-0.02682003662105492,-0.009313446734486308,-0.06270265731114488,0.05793693834132152,0.08966862142011944,-0.08004695546688889,-0.010309410469187652,-0.003400895882791355,-0.024734221279775204,0.20184548721940843,-0.09511574231192466,-0.028011264092141386,0.13116585391802293,0.023415133449415038,-0.029220487782202653,-0.09079625307190775,0.00040197867378233276,0.07954507694608148,-0.021445036285969943,0.07198247978113681,0.05019275584548355,0.06550693548074382,-0.001441544960742891,0.06071171675994469,0.05882269393539663,0.028480383363932216,0.0032204318071185067,-0.05615311764139186,0.1530244079469305,-0.09393930673941575,0.016129183437298744,-0.02111821463335173,-0.029053007994460978,-0.0769258750119356,-0.028724998597790097,0.05647273058446611,0.060287887172823185,-0.013088615921087787,-0.027381062959484503,0.01751718321151663,-0.0746480222367365,0.11257499980069396,-0.012685453049524953,0.1542554111755221,-0.03062334066251715,0.02701858332553808,0.04201706421542051,4.279355070480051e-05,0.0963960743125658,-0.018010732618136904,0.027228523651088743,0.11587998208818573,-0.047231439581540524,-0.12965746531665967,-0.06038584890376675,0.015296142303697247,0.061433496431812395,0.06574071890011712,-0.11363610313483297,0.21619600323232513,0.031446328361663944,-0.03536458872432413,-0.03691105400959649,0.017170459778732994,-0.05967783688380912,0.011196353887570343,-0.030643230423517465
1998-02-01,0.29010937285204497,0.060603487635518594,0.14772733317589015,0.08951818991012717,0.16408668730650144,0.06249987012914571,0.30508517828652737,0.07617626243452569,0.13910762993224335,0.1440504585325888,0.0856474717869562,0.005015597277890471,0.1091234271767032,0.12231975516483118,0.14288006748101356,0.11276853777967233,0.12072426152046645,0.03166966054536213,0.12220995787030597,0.12680131236587777,0.04459887191281964,0.131497217323159,0.08194011559632641,0.06398164836601494,0.13960527783423737,0.0487750536322169,0.025375159150684334,0.05475192068773582,0.11848796615873969,-0.021133514332592362,0.011988055334850145,0.0032257361587404443,-0.11574032262777212,0.05578425219943006,0.09309765594463904,0.05759541005611868,0.10767266345807847,0.2441473497124087,0.12605049106629118,0.16402447097967365,0.05984510969344625,0.15384551084903775,-0.02680266205274373,0.12132091561620051,0.1571583850665459,0.1578246955878344,0.04153675304308857,0.02170615608291393,0.04819294218166115,0.08679414513222494,0.20017526864052226,0.1361535914069072,0.011983358012488399,0.09516412960739773,0.059139965160653896,0.0103804726437553,0.0825685602987396,0.08632499114926695,-0.01686794744451947,0.09923038881656487,0.08205172271536654,0.03424661576404331,0.029077148834461664,-0.06967937468249208,-0.019307511758984375,0.074717484382677,0.0512818947033411,0.06178447136272802,0.18414642274423665,-0.14791663377262587,0.06923944362956158,-0.02204771169694497,0.125213970817857,0.16326508095501158,0.07481552588614027
1998-03-01,0.16401954362603366,0.006683649120968083,0.02263090600491613,0.047842173941637256,0.23670212765957444,0.14588223232942998,0.11079592348390466,0.01943058747601034,-0.03639618351879714,0.06478099414077954,0.07257215959587882,0.041173129554530785,0.2069892635757844,0.081193193569576,0.009163940246849966,0.06851450004785486,-0.003590893350770674,0.17539780671580485,0.01913295180247787,0.09207079918666983,0.037950475009200346,0.019409566715461013,0.000929083184198376,0.10356370969275774,0.055603095516587375,-0.04634309489944488,0.08265927683058738,0.02631519725800402,0.145856167131603,0.11678097830779088,-0.011462055830254059,0.10852127277873924,0.005235235254028581,0.0587086439768163,-0.009689201956195825,-0.003384399533260085,-0.12961679287197747,0.04032231828097843,-0.02259706057794042,0.08715419444844885,0.12841538017410037,0.07581712088431813,-0.09115375057468456,-0.035886512432306006,0.20106941492573127,0.101397294704622,-0.02352993781338808,0.07336638472224277,-0.041666503379704234,0.004900198153164892,0.04386709257475907,0.056047894027216216,0.11607470946481357,0.008546169243796253,0.28172579978437495,0.16951999484479896,0.12901053620786462,-0.005890803994098137,0.049019606057797205,0.037304359837154966,0.1453394464854918,0.007666309004069172,0.12151896678605634,0.1263549008382423,0.14669381734070175,0.14097370239500417,-0.015244164260616477,-0.06681010274006915,0.06694150632718987,0.10146634389940634,0.0042463526904463755,0.13927644078738033,0.01809062423031005,0.09716538534683705,0.06785306664208268
1998-04-01,-0.004545244041101348,-0.029045750705465667,0.10788378726696357,0.045307521800402206,-0.04516129032258065,-0.02053375307917371,0.07270895578304559,0.11300236757701132,-0.03956827688048159,0.047763489174661,-0.059701585477548336,0.014978511601394962,0.022271714165168488,0.01979214917380845,0.03405168566072536,0.03386177967504045,0.00784151182184778,0.2179081892308845,-0.007508773701618399,0.04683885785783404,0.07129788977196405,-0.023178765761932008,0.029572005150669378,-0.05320274407272996,-0.05318722727541214,0.16686220453733824,-0.028331420492715975,-0.02301047760734032,0.06436759047552165,-0.04393646932097606,-0.010144062406008403,-0.0077020363427561245,0.055555817029850685,0.03129719626919836,0.043154986167099896,0.11552358356374448,0.03522854892533367,0.09948364211010619,-0.026382722983197326,0.02734018120904147,-0.01814934848036376,-0.019320863965786028,0.16666582879221714,-0.006513942774948989,-0.0035616812227073913,0.03125005935095704,0.02168655954752796,0.037087001913564954,-0.1013790313073557,-0.05662330458984455,0.08233276286619406,0.0069832949895241025,-0.03404674787670259,0.08055374991713493,-0.1801983542868174,-0.06737244326436709,0.1416929075191502,-0.025926425116728935,0.05140186158775184,0.06635167846199819,0.062068925922662777,-0.07894719286441132,-0.04288930659807566,-0.03832137739149133,-0.04432395462441596,-0.0078124511231912885,-0.013932050574900323,0.18475753579159826,0.08543647319113723,-0.023890470168069333,0.07280987402756578,-0.08496384453061967,-0.040601702957194674,-0.0034085773783054663,0.08040607169776282
1998-05-01,-0.0273995309412034,0.018530700795284627,-0.20192906036092095,-0.058907214566826904,-0.29504504504504503,0.014675078366743532,-0.03950905512968106,0.0064434667925901135,-0.046192520578194673,-0.006578860327404845,0.03913781795892324,0.019159284383429842,0.02309362795981862,0.003087111139338683,-0.03084710077418995,-0.02697553005760378,-0.03398927122219286,0.03903688212541745,0.013511818640904893,0.03579420689632706,0.032423518135702434,-0.046883522907786856,-0.03401350679943105,-0.1122993604775645,0.006087289865789103,-0.0894904849016328,-0.004319469824405453,-0.04612362068125142,0.1430460647864824,-0.05698517571188455,0.046123569202725756,-0.021276600238118504,-0.1480260115036236,0.12735450512389535,-0.02425154309795785,0.014023462411200338,-0.11567494958137059,-0.10928380946212468,-0.03409089477562899,-0.013723004218782586,0.03294870378208414,-0.019875508010610554,-0.11769966307536317,0.007855899724867665,0.13318025809086298,0.06060640243267246,0.05057651090654458,-0.01854318389527787,0.006733601359877994,-0.029045927518470793,-0.007890019875221532,-0.05894609185245514,-0.010070928430038206,-0.036649500732259366,-0.08695640269042226,0.028345903138879747,-0.07907718567218514,0.023626840692132722,-0.0733332680238491,-0.04507970277568185,-0.0025971215123952174,-0.05178601387010773,0.01519170248059587,0.013282846151660532,-0.05524514336969666,0.062276526447483826,-0.11773918912214187,-0.1967274138475792,-0.08896816794223261,-0.11643804940365199,-0.034619044227300666,-0.013179951250611222,-0.025078962377658054,0.09023478990525557,-0.035072500603946954
1998-06-01,0.07746419256158665,0.10530742385323277,0.06259790715521962,0.17920239826257056,-0.12779552715654952,0.08057863994305792,1.2638266961074316,0.10840423093701057,-0.06410688480823323,0.015728585048506494,-0.004090022182145936,0.06918599005079673,0.11286199617522974,-0.0102037818707158,-0.03697385043979862,0.011494044652384128,0.17777795812124197,0.24522591786754622,-0.033834475866706515,0.08963260665213313,0.21735520933807684,0.10952841407866676,0.056091549851323474,0.018674966457256748,0.014692622764079344,-0.07229578668227987,0.03820616132744936,-0.0015662654921358987,0.13734978961827915,-0.02144284336090352,0.04641357405440916,0.08995548834643996,-0.009653021714542964,0.05727938883605255,0.04163487056286508,-0.021044309783534998,0.03762040868909389,0.2928767209654204,0.07521650638153532,0.11080420906304278,0.09090914559515428,-0.05069669922093567,0.08268287531388618,-0.05338505709749797,0.024466610627208896,0.05286913405209592,0.1460673417045053,-0.1076215051508167,0.05351192834674845,0.14316132214199828,0.17053649457784492,0.2778185187151774,0.03412271691383273,0.05842344270213906,0.0396828550423467,0.009189150468341678,0.03873674599134369,0.08569266902419126,0.0779371448391204,-0.012214254795971269,0.11328120562242194,-0.01582837317183694,0.04235312928682533,-0.011341642660632534,0.02893880011865213,0.04799350524679613,-0.0266901236744278,0.13365738001512084,-0.004882470186166388,-0.09043958833452603,0.047131223927160404,-0.004092257938977273,-0.03131607953151205,0.10204087597427702,0.01811515580095069
1998-07-01,0.2069739693361976,0.01524347297872719,-0.23858640778749163,0.033590311300558895,0.01098901098901095,0.1233269989503476,0.11152840934798713,-0.02771167406496655,-0.1290322209592637,0.04520807696022522,0.051335076856032336,-0.0054256842560561624,-0.10371217648340525,0.10927804632347682,-0.08328415960891689,0.04829510184220864,0.13911277562431845,-0.06542545618376816,-0.08171232954508378,-0.1000989297355408,0.04005444036111516,0.052969048547240494,-0.013432151627137068,-0.2362289273322763,0.1127963389366613,-0.01665707548240336,-0.03586482733231655,-0.015527878949533669,-0.03389908086864457,-0.03286847479347299,0.02284928582166823,-0.015818606058158435,-0.26705637438783303,0.009028930008180502,-0.0197184560408864,0.1540558472316622,0.13912338521926992,-0.18775533998866079,0.043919043904083965,0.0016553933494218853,-0.056737764636879406,0.05469586524116021,0.015093686140328355,-0.05844155660376693,-0.050847436163861226,-0.03170250183195,-0.027440774430691595,-0.08593181445264941,0.1244188952271581,-0.07254184818602394,-0.047196432552649825,0.014417763689946073,-0.03472222222222221,-0.08476459554226923,0.07888024088458567,-0.05169354871193088,0.010350449874932943,-0.1283456709648204,0.10956642704106101,0.036486612225238746,-0.21637434674940748,0.1494253101778178,-0.07900706572673355,-0.04230732192909781,0.023437297025545645,-0.014175872774432441,-0.32723972546699687,0.01822052994854384,-0.11285604372796876,-0.041347684762345294,0.09403803768043018,-0.006164768240867535,-0.04166706727001013,0.04050877887030202,-0.015761832266016573
1998-08-01,-0.09927780528588959,-0.07190146746856896,-0.1872761666321099,-0.2310400264994824,-0.24637681159420288,-0.17106408587046917,-0.2446442566669439,-0.2933180897305966,-0.20289850231125384,-0.2789967551852638,-0.2310631874950868,-0.14097631281042178,-0.14261315720355983,-0.33890118920004775,-0.12899529514641472,-0.2158871712086059,-0.1712706192103336,-0.2460955542949952,-0.07075849288961644,-0.1707052460799371,-0.1449086874034593,-0.1116454993595245,-0.10363116942481854,-0.17884901291825883,-0.11179140366907658,-0.20216754509557067,0.09190319236704148,-0.04100937837863827,-0.21152168096806223,-0.17507744452424379,0.004805846835441496,-0.10255991955374777,-0.2234037232733136,-0.0895522966979897,-0.21120683950605845,-0.1499998446506129,-0.15692125584524919,-0.31281408379129405,-0.1067957968774812,-0.30245886291499247,-0.19099389926182397,-0.2715735541124473,-0.022305035672613216,-0.12163035792881072,-0.08388834277587276,-0.15622089851958498,-0.1705345660379114,-0.08818653839081081,-0.05135509969036289,-0.06170966172780423,-0.3316698731569997,-0.12734529873521083,0.09455293966179279,-0.22050559377210988,-0.2476419032137971,-0.284109056479358,-0.15310219334959152,-0.03309825783547138,-0.2952381283425115,-0.24315538387541513,-0.2462686727647997,-0.20333308051078947,0.117303297862555,-0.06626549943713866,-0.06299968394296807,-0.23137250214446958,-0.2934780699755235,-0.20095355414231875,-0.3606194593960679,-0.05208323584257246,-0.21184959774192524,-0.018819124870747217,-0.17217398501579906,-0.06534565180435858,-0.06850573752065858
1998-09-01,0.22244475258294627,0.12824682174235158,0.3214285005127737,0.013742982269001613,0.4278846153846154,0.2412731032905513,0.33283477540211437,-0.004808092709608913,0.11319220344239356,-0.0695656643406658,0.11734709587053449,0.06130235629429959,-0.00747010055279862,-0.15492972781040137,0.059523241298445884,-0.04679365970934901,0.24333347751332757,0.17866497418756833,0.10566659857879257,0.006640185431478152,0.13244269073957016,0.2044674637676791,0.14362765861474647,-0.08333334964264028,-0.17241331403412008,-0.07517099371061531,0.0712042115216287,0.09731060402818215,0.05322164511562555,-0.10486896672144885,0.05650490139006625,-0.005469339166159437,0.18493029763265278,0.03606508009046805,0.035011346837823254,0.14290800732193,0.20500688817848234,0.36197466492283814,0.13781369855885672,-0.17857129946860106,-0.11516309058128338,-0.08884994097060361,0.19462124955993843,0.1564036254384349,-0.09269222423273993,0.06024296724236766,0.12895380369229814,0.08341907221439548,0.11278171639561152,0.11751980664238726,-0.257265760993735,0.14723169451637697,0.05523242482605384,0.06126112486571378,0.460815772213256,0.05605381476324989,0.1391633934158205,-0.07026204950540127,0.09103852359092057,0.057641966147470525,0.14653447016282262,0.31945483936650554,0.04666660721401583,0.04081908804398404,0.16584616180992584,-0.02530875998108073,-0.07307718640550953,0.11873294527067557,-0.031142194390819444,0.07064341083591219,0.20501126236854317,0.0977333477615474,0.21665609428975063,-0.07415278583798302,0.08585768736392385
1998-10-01,-0.02623070154229734,0.08201370522490348,0.07195181106968751,0.08930114804071776,0.2154882154882154,0.039702029437246544,0.13269928601274583,0.1348635625182708,0.09471739467126383,0.08193257533610088,0.15296806449203681,0.06960008432933851,0.07777216323765002,0.2533333508986644,0.009831576672251652,0.28545441126704474,0.05423781144071027,-0.012734471536079983,-0.04155131199199813,0.1978896659928182,0.01921127241088527,0.04279616557292143,-0.030483219884630985,0.18590350638125064,0.3317594039351046,0.06157639172859786,-0.02266295984261746,0.06024054782087229,0.15425499200316595,0.17294264616491195,0.18407952018970275,0.1037514969240021,0.3121398041396388,0.10371701298576963,0.10070648358005707,0.1556417076256862,0.04008778149245806,0.08456377763719769,0.04153307877676804,0.31739155308427436,0.1753464684324526,0.2357086701336959,0.03431806554192951,0.10477432730687708,0.06090397878127507,0.1235608665655541,0.12068970155854619,0.08057641932291881,0.11683369390947851,0.047066738422073984,0.5072462931156922,-0.038047199386151975,-0.10224211101726943,0.18022512066737084,0.015020988894185239,0.15121960842112014,0.014775405292063226,0.2469248671622326,0.18637561028438943,0.24611613467690185,0.19861873339378477,0.2190477392701915,-0.04246330582387481,0.02525940034406493,0.04366173192082323,0.1853147947313587,0.3236513969667283,0.2063684326832771,0.22857205253321244,0.12296114835394256,0.14757781366967837,0.09806539966832939,0.03298549268462758,0.2658808503605352,0.014159596654741868
1998-11-01,-0.13973110623462304,0.024857093707561617,0.20538726552123698,0.10183171777229427,0.22714681440443218,-0.042163547917450694,0.518536654408724,0.139474573503092,0.08153084510594999,0.13369570537804387,0.09992903690351795,0.10220199935672825,0.04795161585642527,0.07350973423870366,0.10707614077412186,-0.028042687712251047,-0.03180660968848992,0.08108142525452622,-0.02098827649410706,0.10572633856008395,0.1964287117310093,0.08209826337378967,0.026072615811294275,-0.01929808832065172,0.1424104657192493,0.19734919320762434,-0.03285006487136766,-0.015150897415812326,0.024260808087091412,0.2342452938198729,-0.016937237368622293,0.03285717567364066,0.09691528158921114,0.14203784920904305,0.13001574744587252,0.11195265583197767,0.20672711750350237,0.1460394064926942,-0.003067922961818126,0.12657201969806353,0.037003261448071756,-0.051242516124098025,0.10725288832448943,-0.06846297321732364,0.2531158181171582,0.04473414537331655,0.04162967187031419,0.01098885274401784,0.09413198479884066,0.14854161906080532,0.07581213475009507,0.15230235653114454,-0.020979257646052574,-0.07780946424605173,0.1585627833393397,0.14629639831997365,0.04309839490734135,-0.00854188044461679,-0.013482609553347125,0.12532740110688811,0.06340026957193512,0.17447945212781835,0.05879452647062178,-0.01043864843799902,0.041851435430825035,0.06194703033130833,-0.15360478714571224,0.19620621383869574,0.049418427950987276,0.020997170826969835,-0.03140510525958751,0.053628699670787094,-0.023579334188268408,0.09049825375111453,0.04712087449844882
